word, answers over 6, word value(idk), percent, avarage guesses
clomp,233,53.445371866226196,0.9595275317005385,4.423658155289213
crimp,233,50.91275691986084,0.9595275317005385,4.408198714608303
blimp,237,54.038533449172974,0.958832725377801,4.474552718429738
chomp,243,55.91001605987549,0.9577905158936947,4.497481327080076
clamp,244,50.79612851142883,0.9576168143130103,4.435296161195067
cramp,254,51.84637403488159,0.9558797985061664,4.441549418099704
chimp,256,55.29482316970825,0.9555323953447976,4.492443981240229
whomp,256,59.44694542884827,0.9555323953447976,4.560708702449192
champ,258,56.77421951293945,0.9551849921834289,4.504776793468821
plumb,268,56.17218565940857,0.9534479763765851,4.544033350703492
bumph,269,56.47689700126648,0.9532742747959007,4.583637311099531
climb,270,51.82485103607178,0.9531005732152162,4.500086850790342
pinch,274,48.395933866500854,0.9524057668924787,4.449365989230502
clump,276,52.60405468940735,0.95205836373111,4.499392044467605
parch,279,51.67153859138489,0.9515372589890568,4.469167969428522
campo,279,50.91139602661133,0.9515372589890568,4.482542991141219
patch,281,50.9928343296051,0.951189855827688,4.462219906201146
prime,281,57.438706398010254,0.951189855827688,4.4283480979676915
lymph,281,57.40601706504822,0.951189855827688,4.58120548896995
crump,281,54.43653655052185,0.951189855827688,4.5145040819871465
claim,283,52.19197130203247,0.9508424526663193,4.449713392391871
chump,285,58.668163776397705,0.9504950495049505,4.562272016675352
milch,285,51.61982536315918,0.9504950495049505,4.483237797463957
tromp,286,51.29066228866577,0.9503213479242661,4.437380580163279
topic,287,46.08400821685791,0.9501476463435817,4.426089977418795
match,288,47.842639207839966,0.9499739447628973,4.483932603786695
thump,289,55.36758995056152,0.949800243182213,4.5488969949626545
plume,289,65.15017104148865,0.949800243182213,4.512072259857565
march,290,47.766984939575195,0.9496265416015286,4.481500781657113
impel,291,55.936383962631226,0.9494528400208442,4.495396908111863
prima,291,60.054749727249146,0.9494528400208442,4.452666319263505
plonk,292,48.705684185028076,0.9492791384401598,4.478374153204794
maple,294,52.90630054473877,0.948931735278791,4.487232933819698
blown,295,58.08425498008728,0.9487580336981066,4.534306062185166
proem,296,40.60723352432251,0.9485843321174222,4.477158242140003
pitch,297,51.295544385910034,0.9484106305367379,4.479416362688901
ample,297,70.00536942481995,0.9484106305367379,4.514851485148514
blond,297,48.62048840522766,0.9484106305367379,4.454229633489665
tramp,297,55.63706421852112,0.9484106305367379,4.448323779746396
moped,299,44.81018424034119,0.9480632273753691,4.46986277575126
trump,299,52.10947847366333,0.9480632273753691,4.518846621504256
pilot,300,48.18441557884216,0.9478895257946848,4.379885356956748
blind,301,45.30666971206665,0.9477158242140004,4.447976376585027
nymph,301,62.56240153312683,0.9477158242140004,4.604307799200972
glyph,301,62.052717208862305,0.9477158242140004,4.57529963522668
himbo,301,56.12336087226868,0.9477158242140004,4.572173006774362
place,302,64.24945306777954,0.9475421226333159,4.428000694806323
stomp,302,61.72261095046997,0.9475421226333159,4.494354698627758
punch,304,52.54546499252319,0.9471947194719472,4.520931040472468
golem,304,46.81145715713501,0.9471947194719472,4.49365989230502
primo,304,51.801371812820435,0.9471947194719472,4.45006079555324
phone,305,63.10117244720459,0.9470210178912628,4.469689074170575
picot,305,51.11293935775757,0.9470210178912628,4.407503908285565
probe,306,62.3822603225708,0.9468473163105784,4.4929650859822825
scamp,306,62.32413578033447,0.9468473163105784,4.52892131318395
plaid,306,45.84374499320984,0.9468473163105784,4.450581900295293
phial,306,57.32836318016052,0.9468473163105784,4.4714260899774185
clime,307,56.13168239593506,0.9466736147298941,4.463435817265937
pilaf,307,53.51024675369263,0.9466736147298941,4.497481327080076
palmy,307,42.815364837646484,0.9466736147298941,4.498523536564183
magic,308,53.83449339866638,0.9464999131492097,4.534653465346534
charm,308,58.81217837333679,0.9464999131492097,4.5103352440507205
rapid,308,49.7832977771759,0.9464999131492097,4.450755601875977
women,308,47.08152532577515,0.9464999131492097,4.5037345839847145
batch,308,49.533472299575806,0.9464999131492097,4.5124196630189335
humpf,308,60.79353427886963,0.9464999131492097,4.615077297203404
campy,308,47.13174915313721,0.9464999131492097,4.523015459440681
gamic,308,48.57517075538635,0.9464999131492097,4.532395344797638
comet,309,42.40646576881409,0.9463262115685253,4.413930866770888
chime,309,62.75415301322937,0.9463262115685253,4.532047941636269
morph,309,52.86184787750244,0.9463262115685253,4.511551155115511
price,310,57.35235357284546,0.9461525099878408,4.410804238318569
plink,310,54.757787466049194,0.9461525099878408,4.477158242140003
pride,311,54.80950403213501,0.9459788084071565,4.427479590064269
block,312,59.648059368133545,0.9458051068264721,4.543859649122807
chirp,312,56.11704158782959,0.9458051068264721,4.491054368594754
optic,312,62.55787634849548,0.9458051068264721,4.47976376585027
prism,313,71.88123178482056,0.9456314052457877,4.498523536564183
spice,313,68.47315740585327,0.9456314052457877,4.463435817265937
whump,313,61.98333716392517,0.9456314052457877,4.62480458572173
comps,314,42.148669958114624,0.9454577036651034,4.487059232239013
amped,314,54.60002088546753,0.9454577036651034,4.537780093798854
ohmic,314,64.62091040611267,0.9454577036651034,4.5600138961264545
gimpy,314,56.4709951877594,0.9454577036651034,4.561229807191245
month,315,43.9376163482666,0.945284002084419,4.4379016849053325
thumb,315,58.13006830215454,0.945284002084419,4.613513982977245
mirth,315,48.36706566810608,0.945284002084419,4.460830293555671
poled,315,42.53048038482666,0.945284002084419,4.42470036477332
umbel,315,54.855400800704956,0.945284002084419,4.617161716171617
pigmy,316,52.08604168891907,0.9451103005037346,4.55706096925482
scrip,316,60.456600189208984,0.9451103005037346,4.458224769845406
prick,316,56.68094253540039,0.9451103005037346,4.49643911759597
ftped,316,53.76608991622925,0.9451103005037346,4.535695674830641
mohel,316,43.00603675842285,0.9451103005037346,4.497655028660761
blame,317,60.50941276550293,0.9449365989230502,4.504776793468821
perch,317,59.47275519371033,0.9449365989230502,4.507208615598402
camps,317,38.30516600608826,0.9449365989230502,4.484627410109432
flown,317,54.35491967201233,0.9449365989230502,4.567830467257252
paced,317,45.575207471847534,0.9449365989230502,4.470731283654681
plasm,317,64.88405179977417,0.9449365989230502,4.533784957443113
plant,318,45.54740047454834,0.9447628973423658,4.380232760118117
limbo,318,59.133485078811646,0.9447628973423658,4.531179433732847
plait,318,48.108248710632324,0.9447628973423658,4.402640264026402
mulct,318,47.97307300567627,0.9447628973423658,4.470904985235365
paint,319,40.62630605697632,0.9445891957616814,4.361472989404204
tempo,320,63.111706256866455,0.944415494180997,4.494528400208442
roped,320,42.30020213127136,0.944415494180997,4.45839847142609
mulch,320,53.42580199241638,0.944415494180997,4.559492791384401
monic,320,45.78027319908142,0.944415494180997,4.448150078165711
redip,320,67.1578106880188,0.944415494180997,4.479068959527532
moper,320,44.75397205352783,0.944415494180997,4.488796248045857
scalp,321,59.26183199882507,0.9442417926003127,4.494702101789127
peach,321,61.64559721946716,0.9442417926003127,4.544901858606913
point,321,42.19456481933594,0.9442417926003127,4.381101268021539
psalm,321,70.35584878921509,0.9442417926003127,4.536564182734063
paled,321,41.340128660202026,0.9442417926003127,4.4660413409762025
clasp,321,64.69898700714111,0.9442417926003127,4.4929650859822825
slump,321,60.61979556083679,0.9442417926003127,4.546291471252388
caped,321,44.282832860946655,0.9442417926003127,4.4702101789126285
botch,321,46.47312116622925,0.9442417926003127,4.527010595796422
limed,321,42.99430561065674,0.9442417926003127,4.4821955879798505
space,322,66.32349896430969,0.9440680910196283,4.475247524752476
depth,322,58.81948232650757,0.9440680910196283,4.505645301372242
spilt,322,50.9322874546051,0.9440680910196283,4.414451971512941
grope,322,61.624961853027344,0.9440680910196283,4.491401771756123
filch,322,51.903910398483276,0.9440680910196283,4.534827166927219
bumpy,322,53.22803831100464,0.9440680910196283,4.620114643043252
tamps,322,36.059765100479126,0.9440680910196283,4.461698801459093
toped,322,45.02348470687866,0.9440680910196283,4.448150078165711
shlep,322,47.9822793006897,0.9440680910196283,4.5178044120201495
blend,323,61.95807385444641,0.9438943894389439,4.49209657807886
biped,323,45.70805287361145,0.9438943894389439,4.512245961438249
medic,323,66.28091406822205,0.9438943894389439,4.533784957443113
poach,323,49.74486207962036,0.9438943894389439,4.519888830988362
bedim,323,66.523597240448,0.9438943894389439,4.552023623414973
bract,323,50.66629195213318,0.9438943894389439,4.457529963522668
camel,324,42.342992067337036,0.9437206878582595,4.467083550460309
cloth,324,47.60437536239624,0.9437206878582595,4.464999131492097
model,324,42.489469051361084,0.9437206878582595,4.459614382490881
stump,324,65.9509003162384,0.9437206878582595,4.568177870418621
crumb,324,53.53081822395325,0.9437206878582595,4.584158415841584
loped,324,45.271517276763916,0.9437206878582595,4.456140350877193
ripen,324,49.25177240371704,0.9437206878582595,4.431822129581379
bowel,324,43.798954248428345,0.9437206878582595,4.5339586590237975
limps,324,41.00811815261841,0.9437206878582595,4.479937467430954
bipod,324,52.762248516082764,0.9437206878582595,4.491749174917492
panic,325,45.37409162521362,0.9435469862775752,4.447976376585027
blade,325,61.74265193939209,0.9435469862775752,4.49643911759597
child,325,45.35210037231445,0.9435469862775752,4.499913149209658
clown,325,51.5396728515625,0.9435469862775752,4.507556018759771
tapir,325,44.82232689857483,0.9435469862775752,4.4205315268368945
spade,325,62.90821194648743,0.9435469862775752,4.488448844884489
depot,325,60.298962116241455,0.9435469862775752,4.4424179260031265
pried,325,42.88448429107666,0.9435469862775752,4.432690637484801
gimel,325,43.51967477798462,0.9435469862775752,4.520583637311099
twirp,325,52.93071413040161,0.9435469862775752,4.506861212437033
proms,325,38.59127950668335,0.9435469862775752,4.475594927913844
bride,326,60.31547498703003,0.9433732846968907,4.475073823171791
bunch,326,58.194605112075806,0.9433732846968907,4.5662671530310925
crime,326,63.7620530128479,0.9433732846968907,4.455966649296508
graph,326,56.36604142189026,0.9433732846968907,4.544554455445544
bland,326,49.00811457633972,0.9433732846968907,4.503908285565399
epoch,326,93.67569208145142,0.9433732846968907,4.5740837241618895
munch,326,56.989516258239746,0.9433732846968907,4.546638874413757
gripe,326,65.34937858581543,0.9433732846968907,4.483064095883273
opted,326,50.73698616027832,0.9433732846968907,4.46986277575126
pacer,326,46.58936929702759,0.9433732846968907,4.458745874587459
duple,326,59.100709676742554,0.9433732846968907,4.5070349140177175
dolce,326,49.038387298583984,0.9433732846968907,4.437727983324648
hoped,327,42.285377502441406,0.9431995831162063,4.492443981240229
print,327,47.572150468826294,0.9431995831162063,4.3840541948931735
piled,327,42.65504860877991,0.9431995831162063,4.435469862775752
split,327,56.36553168296814,0.9431995831162063,4.42869550112906
manic,327,51.61192989349365,0.9431995831162063,4.469515372589891
homed,327,45.90233564376831,0.9431995831162063,4.5091193329859305
carom,327,49.33375692367554,0.9431995831162063,4.471599791558103
demon,328,69.10109114646912,0.943025881535522,4.484974813270801
pawed,328,49.90649342536926,0.943025881535522,4.5534132360604485
umped,328,49.08623123168945,0.943025881535522,4.592148688553066
